Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.417914e+01  1.984994e+00  3.209540e+05  0.000000e+00
5000          -6.818539e+00  2.686969e+01  4.175186e-03  8.651985e+00  8.596472e+08  1.046959e+00
10000         -6.767543e+00  1.631861e+01  1.286507e-03  7.386854e+00  1.726406e+09  1.042646e+00
15000         -6.796740e+00  1.628550e+01  6.828308e-04  5.690227e+00  2.585447e+09  1.044324e+00
20000         -6.833366e+00  1.624788e+01  4.630089e-04  4.313252e+00  3.442577e+09  1.045746e+00
25000         -6.863707e+00  1.621708e+01  3.356934e-04  3.273471e+00  4.305695e+09  1.045145e+00
30000         -6.886888e+00  1.619360e+01  2.474785e-04  2.499777e+00  5.163167e+09  1.045887e+00
35000         -6.904220e+00  1.617605e+01  1.828671e-04  1.925983e+00  6.019611e+09  1.046597e+00
40000         -6.917095e+00  1.616302e+01  1.354218e-04  1.500809e+00  6.876090e+09  1.047124e+00
45000         -6.926641e+00  1.615335e+01  1.003742e-04  1.185817e+00  7.732196e+09  1.047585e+00
50000         -6.933715e+00  1.614619e+01  7.426739e-05  9.524679e-01  8.589178e+09  1.047848e+00
